"Freq [GHz]","dB(S(1,1)) []"
2.792,-0.910063512465429
2.793,-0.908496355236554
2.794,-0.906943873037202
2.795,-0.905405918881079
2.796,-0.903882347798222
2.797,-0.902373016803281
2.798,-0.90087778486434
2.799,-0.899396512872366
2.8,-0.897929063611173
2.801,-0.896475301727946
2.802,-0.895035093704338
2.803,-0.893608307828043
2.804,-0.892194814164937
2.805,-0.890794484531693
2.806,-0.88940719246888
2.807,-0.888032813214633
2.808,-0.886671223678661
2.809,-0.885322302416849
2.81,-0.883985929606251
2.811,-0.882661987020543
2.812,-0.881350358005928
2.813,-0.88005092745745
2.814,-0.878763581795754
2.815,-0.877488208944234
2.816,-0.876224698306615
2.817,-0.874972940744902
2.818,-0.873732828557735
2.819,-0.872504255459112
2.82,-0.871287116557534
2.821,-0.870081308335438
2.822,-0.868886728629027
2.823,-0.867703276608499
2.824,-0.866530852758525
2.825,-0.865369358859151
2.826,-0.864218697966981
2.827,-0.863078774396721
2.828,-0.861949493702988
2.829,-0.860830762662527
2.83,-0.859722489256592
2.831,-0.858624582653808
2.832,-0.857536953193148
2.833,-0.856459512367323
2.834,-0.855392172806432
2.835,-0.854334848261821
2.836,-0.853287453590333
2.837,-0.852249904738706
2.838,-0.851222118728323
2.839,-0.850204013640186
2.84,-0.849195508600114
2.841,-0.848196523764269
2.842,-0.84720698030483
2.843,-0.84622680039597
2.844,-0.845255907200067
2.845,-0.844294224854098
2.846,-0.843341678456301
2.847,-0.842398194053059
2.848,-0.841463698625974
2.849,-0.840538120079177
2.85,-0.839621387226835
2.851,-0.838713429780881
2.852,-0.837814178338925
2.853,-0.836923564372375
2.854,-0.836041520214755
2.855,-0.83516797905021
2.856,-0.834302874902186
2.857,-0.833446142622321
2.858,-0.832597717879516
2.859,-0.831757537149122
2.86,-0.830925537702413
2.861,-0.830101657596124
2.862,-0.829285835662205
2.863,-0.82847801149776
2.864,-0.827678125455104
2.865,-0.826886118631993
2.866,-0.826101932862049
2.867,-0.825325510705268
2.868,-0.824556795438751
2.869,-0.823795731047527
2.87,-0.82304226221556
2.871,-0.822296334316886
2.872,-0.821557893406847
2.873,-0.820826886213591
2.874,-0.820103260129538
2.875,-0.819386963203105
2.876,-0.818677944130515
2.877,-0.817976152247735
2.878,-0.81728153752255
2.879,-0.816594050546757
2.88,-0.815913642528476
2.881,-0.815240265284608
2.882,-0.814573871233343
2.883,-0.813914413386902
2.884,-0.81326184534425
2.885,-0.812616121284029
2.886,-0.811977195957575
2.887,-0.811345024682022
2.888,-0.810719563333501
2.889,-0.810100768340512
2.89,-0.809488596677303
2.891,-0.808883005857467
2.892,-0.808283953927495
2.893,-0.807691399460572
2.894,-0.80710530155036
2.895,-0.806525619804926
2.896,-0.805952314340779
2.897,-0.805385345776927
2.898,-0.804824675229111
2.899,-0.804270264304085
2.9,-0.803722075093959
2.901,-0.803180070170667
2.902,-0.802644212580509
2.903,-0.802114465838775
2.904,-0.801590793924452
2.905,-0.801073161274978
2.906,-0.800561532781149
2.907,-0.800055873782013
2.908,-0.799556150059919
2.909,-0.799062327835607
2.91,-0.798574373763338
2.911,-0.798092254926178
2.912,-0.797615938831256
2.913,-0.797145393405216
2.914,-0.796680586989577
2.915,-0.796221488336307
2.916,-0.795768066603393
2.917,-0.795320291350487
2.918,-0.794878132534629
2.919,-0.794441560506006
2.92,-0.794010546003803
2.921,-0.793585060152116
2.922,-0.79316507445591
2.923,-0.792750560797011
2.924,-0.792341491430242
2.925,-0.791937838979531
2.926,-0.791539576434101
2.927,-0.791146677144754
2.928,-0.790759114820149
2.929,-0.790376863523191
2.93,-0.789999897667422
2.931,-0.789628192013513
2.932,-0.789261721665781
2.933,-0.788900462068756
2.934,-0.78854438900381
2.935,-0.788193478585821
2.936,-0.787847707259925
2.937,-0.78750705179824
2.938,-0.787171489296725
2.939,-0.786840997172021
2.94,-0.786515553158374
2.941,-0.786195135304592
2.942,-0.785879721971021
2.943,-0.785569291826629
2.944,-0.785263823846061
2.945,-0.784963297306795
2.946,-0.784667691786286
2.947,-0.784376987159209
2.948,-0.784091163594705
2.949,-0.783810201553644
2.95,-0.783534081786023
2.951,-0.783262785328286
2.952,-0.782996293500751
2.953,-0.782734587905074
2.954,-0.782477650421708
2.955,-0.782225463207462
2.956,-0.781978008693036
2.957,-0.781735269580613
2.958,-0.781497228841523
2.959,-0.78126386971386
2.96,-0.781035175700221
2.961,-0.78081113056543
2.962,-0.780591718334293
2.963,-0.780376923289406
2.964,-0.780166729968979
2.965,-0.77996112316472
2.966,-0.779760087919699
2.967,-0.779563609526306
2.968,-0.779371673524158
2.969,-0.779184265698176
2.97,-0.779001372076463
2.971,-0.778822978928491
2.972,-0.778649072763068
2.973,-0.778479640326513
2.974,-0.778314668600724
2.975,-0.77815414480139
2.976,-0.777998056376138
2.977,-0.777846391002745
2.978,-0.777699136587404
2.979,-0.77755628126296
2.98,-0.7774178133872
2.981,-0.7772837215412
2.982,-0.777153994527612
2.983,-0.777028621369077
2.984,-0.776907591306566
2.985,-0.77679089379785
2.986,-0.776678518515885
2.987,-0.776570455347284
2.988,-0.776466694390828
2.989,-0.776367225955911
2.99,-0.776272040561143
2.991,-0.77618112893283
2.992,-0.776094482003595
2.993,-0.776012090910933
2.994,-0.775933946995838
2.995,-0.77586004180147
2.996,-0.775790367071749
2.997,-0.775724914750076
2.998,-0.775663676978011
2.999,-0.775606646093999
3,-0.775553814632088
